window_index,subject_id,window_start_time,window_end_time,window_start_sec,window_end_sec
364,36,120,180,240.0,360.0
365,36,150,210,300.0,420.0
366,36,180,240,360.0,480.0
367,36,210,270,420.0,540.0
368,36,240,300,480.0,600.0
369,36,270,330,540.0,660.0
370,37,0,60,0.0,120.0
371,37,30,90,60.0,180.0
372,37,60,120,120.0,240.0
373,37,90,150,180.0,300.0
374,37,120,180,240.0,360.0
375,37,150,210,300.0,420.0
376,37,180,240,360.0,480.0
377,37,210,270,420.0,540.0
378,37,240,300,480.0,600.0
379,37,270,330,540.0,660.0
380,38,0,60,0.0,120.0
381,38,30,90,60.0,180.0
382,38,60,120,120.0,240.0
383,38,90,150,180.0,300.0
384,38,120,180,240.0,360.0
385,38,150,210,300.0,420.0
386,38,180,240,360.0,480.0
387,38,210,270,420.0,540.0
388,38,240,300,480.0,600.0
389,38,270,330,540.0,660.0
390,39,0,60,0.0,120.0
391,39,30,90,60.0,180.0
392,39,60,120,120.0,240.0
393,39,90,150,180.0,300.0
394,39,120,180,240.0,360.0
395,39,150,210,300.0,420.0
396,39,180,240,360.0,480.0
397,39,210,270,420.0,540.0
398,39,240,300,480.0,600.0
399,39,270,330,540.0,660.0
400,40,0,60,0.0,120.0
401,40,30,90,60.0,180.0
402,40,60,120,120.0,240.0
403,40,90,150,180.0,300.0
404,40,120,180,240.0,360.0
405,40,150,210,300.0,420.0
406,40,180,240,360.0,480.0
407,40,210,270,420.0,540.0
408,40,240,300,480.0,600.0
409,40,270,330,540.0,660.0
410,41,0,60,0.0,120.0
411,41,30,90,60.0,180.0
412,41,60,120,120.0,240.0
413,41,90,150,180.0,300.0
414,41,120,180,240.0,360.0
415,41,150,210,300.0,420.0
416,41,180,240,360.0,480.0
417,41,210,270,420.0,540.0
418,41,240,300,480.0,600.0
419,41,270,330,540.0,660.0
420,42,0,60,0.0,120.0
421,42,30,90,60.0,180.0
422,42,60,120,120.0,240.0
423,42,90,150,180.0,300.0
424,42,120,180,240.0,360.0
425,42,150,210,300.0,420.0
426,42,180,240,360.0,480.0
427,42,210,270,420.0,540.0
428,42,240,300,480.0,600.0
429,42,270,330,540.0,660.0
430,43,0,60,0.0,120.0
431,43,30,90,60.0,180.0
432,43,60,120,120.0,240.0
433,43,90,150,180.0,300.0
434,43,120,180,240.0,360.0
435,43,150,210,300.0,420.0
436,43,180,240,360.0,480.0
437,43,210,270,420.0,540.0
438,43,240,300,480.0,600.0
439,43,270,330,540.0,660.0
440,44,0,60,0.0,120.0
441,44,30,90,60.0,180.0
442,44,60,120,120.0,240.0
443,44,90,150,180.0,300.0
444,44,120,180,240.0,360.0
445,44,150,210,300.0,420.0
446,44,180,240,360.0,480.0
447,44,210,270,420.0,540.0
